county,population,housing_units,total_area_sqmi,water_area_sqmi,land_area_sqmi,population_density_sqmi,housing_units_sqmi
Houston,8426,4188,206.97,6.69,200.29,42.1,20.9
Humphreys,18538,8865,556.70,25.72,530.98,34.9,16.7
Jackson,11638,5843,319.52,11.20,308.32,37.7,19.0
Jefferson,51407,23499,314.30,40.23,274.08,187.6,85.7
Johnson,18244,8956,302.72,4.25,298.47,61.1,30.0
Knox,432226,194949,525.87,17.65,508.22,850.5,383.6
Lake,7832,2598,193.89,28.11,165.78,47.2,15.7
Lauderdale,27815,11256,507.58,35.59,471.99,58.9,23.8
Lawrence,41869,18177,617.99,0.86,617.13,67.8,29.5
Lewis,12161,5470,282.49,0.40,282.09,43.1,19.4
Lincoln,33361,15241,570.72,0.38,570.34,58.5,26.7
Loudon,48556,21725,247.37,18.15,229.22,211.8,94.8
McMinn,52266,23341,432.18,2.06,430.12,121.5,54.3
McNairy,26075,11933,563.61,0.75,562.86,46.3,21.2
Macon,22248,9861,307.24,0.10,307.14,72.4,32.1
Madison,98294,41877,558.63,1.51,557.12,176.4,75.2
,,,,,,,
Marion,28237,12954,512.25,14.09,498.16,56.7,26.0
Marshall,30617,13119,376.16,0.70,375.46,81.5,34.9
Maury,80956,35254,615.58,2.44,613.14,132.0,57.5
Meigs,11753,5628,216.75,21.63,195.12,60.2,28.8
Monroe,44519,20787,652.56,16.99,635.56,70.0,32.7
Montgomery,172331,70098,543.83,4.65,539.18,319.6,130.0
Moore,6362,2915,130.42,1.19,129.22,49.2,22.6
Morgan,21987,8920,522.49,0.31,522.18,42.1,17.1
Obion,31807,14659,555.51,10.78,544.73,58.4,26.9
Overton,22083,10295,434.83,1.35,433.48,50.9,23.7
Perry,7915,4599,422.87,8.14,414.73,19.1,11.1
Pickett,5077,3462,174.49,11.51,162.98,31.2,21.2
Polk,16825,7991,442.33,7.66,434.68,38.7,18.4
Putnam,72321,31882,402.56,1.46,401.10,180.3,79.5
Rhea,31809,14365,336.41,21.03,315.38,100.9,45.5
Roane,54181,25716,394.98,34.27,360.71,150.2,71.3
Robertson,66283,26086,476.46,0.17,476.29,139.2,54.8
Rutherford,262604,102968,624.05,4.69,619.36,424.0,166.2
Scott,22228,9910,533.23,0.93,532.30,41.8,18.6
Sequatchie,14112,6368,266.04,0.19,265.86,53.1,24.0
Sevier,89889,55918,597.72,5.22,592.50,151.7,94.4
Shelby,927644,398274,785.02,21.84,763.17,1215.5,521.9
Smith,19166,8529,325.37,11.08,314.29,61.0,27.1
Stewart,13324,6778,493.01,33.68,459.33,29.0,14.8
Sullivan,156823,73760,429.71,16.34,413.36,379.4,178.4
Sumner,160645,65968,543.22,13.77,529.45,303.4,124.6
Tipton,61081,23199,473.31,14.95,458.37,133.3,50.6
Trousdale,7870,3368,116.64,2.45,114.19,68.9,29.5
Unicoi,18313,8830,186.49,0.33,186.17,98.4,47.4
Union,19109,8958,247.14,23.59,223.55,85.5,40.1
Van Buren,5548,2663,274.53,1.12,273.42,20.3,9.7
Warren,39839,17821,434.03,1.35,432.68,92.1,41.2
Washington,122979,57254,329.80,3.33,326.46,376.7,175.4
Wayne,17021,7287,735.65,1.55,734.10,23.2,9.9
Weakley,35021,15495,581.78,1.42,580.36,60.3,26.7
White,25841,11511,379.43,2.75,376.67,68.6,30.6
Williamson,183182,68498,583.77,1.17,582.60,314.4,117.6
Wilson,113993,45568,583.20,12.37,570.83,199.7,79.8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
